iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
FJI,Fiji,554245.7128619202,44.87620839050025,0.21685951645411575,0.5114324510586499,0.2717080324872343,0.1229672502310151,0.013067368601152771,0.00012751329423086046,4.470658959425898e-08
FLK,Falkland Islands (Malvinas),1432.5956815352035,51.675042391178486,0.18710156449967436,0.44859766076825214,0.3643007747320735,0.21549388568091996,0.05884388590630568,0.005915729828831076,0.00011291688381928259
FRA,France,49675919.36927452,53.1438596136467,0.18167168716687224,0.4361350383655834,0.3821932744675443,0.23545949772334934,0.07392235574546227,0.010217789603650827,0.00033322334134508604
FRO,Faroe Islands,43470.12514038518,52.657601989222066,0.18341885121030999,0.44024028624205336,0.3763408625476366,0.2288291518064677,0.06863503277382069,0.008541236191287778,0.0002327633842701917
FSM,Micronesia (Fed. States of),84742.27183923553,44.90101464539457,0.2167779343112708,0.5110177265861889,0.27220433910254027,0.12353591778328205,0.013317409383562039,0.0001363289339613947,5.296672767318762e-08
GAB,Gabon,5742894.48260833,46.79266560864124,0.20765500739978235,0.49287065699345706,0.29947433560676057,0.1486783258909842,0.02195317574413194,0.0004973702723856051,7.479166198549591e-07
GBR,United Kingdom,49900149.970638804,51.82195421633455,0.18654616291261786,0.4473211370739849,0.3661327000133972,0.2175210158177751,0.06028824512086079,0.0062696749963079175,0.00012658487348448505
GEO,Georgia,1834872.0839062554,49.149367579346666,0.1972914066637176,0.4707844074826793,0.33192418585360317,0.1811607339959391,0.03745751913401322,0.0019561828068692037,1.2326047898655616e-05
GGY,Guernsey,34560.189713869084,53.02304504367291,0.18209446021193207,0.4371719747165528,0.3807335650715151,0.23377774056499778,0.07252742802385458,0.009751914715049062,0.00030469782558098334
GHA,Ghana,50574589.289851665,45.25705957089472,0.21497999044314997,0.5076888582409321,0.27733115131591796,0.1280277556932674,0.014608307915094484,0.00017171065341564036,8.336491236842225e-08
GIB,Gibraltar,33900.986701062815,53.96512296244576,0.17873740740142322,0.42946537677435676,0.39179721582422006,0.24629654265437811,0.08266322715343682,0.013227560452206726,0.0005526701998227382
GIN,Guinea,22889565.029192768,42.497448123323835,0.22926267919749,0.5352974554234655,0.2354398653790444,0.09233146402337333,0.005870580227180274,1.4204029757243592e-05,4.0279670380074067e-10
GLP,Guadeloupe,165391.40125381303,52.73411257776992,0.1831818179678236,0.43948685165972823,0.37733133037244815,0.2300673248593311,0.06981864866137988,0.008968115486856583,0.00025942581274929276
GMB,Gambia,4032845.0642702575,44.97863903024407,0.21631773460709816,0.5105628563208875,0.27311940907201443,0.12413075864717664,0.013354865175873023,0.00013393460693044264,4.888664561274317e-08
GNB,Guinea-Bissau,3385919.273056678,43.782900753157136,0.2224274252122197,0.5222485434707042,0.2553240313170762,0.10872051367327884,0.009306346834064044,5.135282818005461e-05,6.579642855637895e-09
GNQ,Equatorial Guinea,3777858.9899187163,44.41684121724249,0.2191544231880931,0.5160146865127445,0.26483089029916235,0.11686055923382671,0.011337012509801025,8.693652142099812e-05,1.9869888380226515e-08
GRC,Greece,3731383.774936209,52.44514316255069,0.18421976833289613,0.4419860995998342,0.37379413206726964,0.22604270585466169,0.06659333064182484,0.007969879205893888,0.00020507261795805633
GRD,Grenada,40760.8556996511,49.96820767274533,0.19386740546694664,0.46353906254124855,0.3425935319918048,0.1921837166713527,0.04366892069141575,0.0028515398304439056,2.620312853082218e-05
GRL,Greenland,23184.007651262174,46.297985816410446,0.20995022665228175,0.4976658074640373,0.292383965883681,0.14188959643278076,0.01929527668756382,0.00035408913447253465,3.70434850188517e-07
GTM,Guatemala,16859626.445454184,47.88629597508343,0.2026773212649331,0.48264230479637243,0.3146803739386944,0.1634694603739548,0.028286709939177375,0.0009498875889693874,2.8109907226207213e-06
GUF,French Guiana,656893.6047319854,51.198432586217805,0.18895266266554125,0.4526843252374646,0.358363012096994,0.20904776905485223,0.05441606467190886,0.004892598640405572,7.643147315211008e-05
GUM,Guam,148382.86278453423,51.925511501365754,0.18618239630173208,0.4463488403579849,0.367468763340283,0.21908085133708305,0.06151588406747207,0.0066001262182407185,0.0001398291506625322
GUY,Guyana,600338.2192511896,47.29826636643809,0.2053683359174343,0.48796873828895004,0.30666292579361565,0.15572920411917685,0.02496463456229418,0.0006978637511024376,1.5160110051692863e-06
HKG,"China, Hong Kong SAR",573386.1748642732,53.925685024981846,0.17888308419121093,0.4297614600409643,0.39135545576782477,0.24583860351843362,0.08238246602604787,0.01322185596433316,0.0005830841444002086
HND,Honduras,11711440.537801282,48.83700363097446,0.19856200853060965,0.473800643583291,0.3276373478860994,0.1765938081630724,0.03483672192176498,0.0016153359753258666,8.27489267976449e-06
HRV,Croatia,1206572.0937311437,50.69757585831859,0.19093646562246627,0.4570331423943607,0.352030391983173,0.20225635466407763,0.04996581126242431,0.0039790104358538554,5.120789033942448e-05
HTI,Haiti,10046676.494202102,43.639896919134046,0.22320118399631128,0.5235641457956055,0.2532346702080833,0.10703001270436782,0.008950303824039097,4.67244208874146e-05,5.4909460660682625e-09
HUN,Hungary,4876593.470324938,50.754587924177144,0.19071033307408486,0.45652999397395144,0.3527596729519636,0.20304212167653762,0.050472848867723026,0.004077511747518948,5.368883592143932e-05
IDN,Indonesia,188638534.93623626,47.55413262773225,0.2041672935864778,0.4857205577252471,0.31011214868827514,0.15897552385375419,0.02625616078647866,0.0007852460455559611,1.903157948876944e-06
IMN,Isle of Man,34930.75082658615,52.555688811845194,0.18379247125078443,0.44110535800810885,0.37510217074110663,0.2274390899977472,0.0675853619002578,0.008242468798969267,0.00021864796409902038
IND,India,941284320.984432,49.34853994648524,0.19639304770538313,0.4691844486082407,0.3344225036863761,0.18355715578659404,0.03858623824948756,0.002088172529776739,1.3988099046043516e-05
